episode_id,prefix_episode_id,task_uid,benchmark,arm,run,plan_run_order,seed,model_call_seed_t1,invocation,attempt,start_utc,fork_t,n_decisions,success,restoration_transcript_hash_matches,restoration_tool_result_reproduced_stored,durable_rows_lost_invocation,durable_rows_recovery_invocation
branch:log:humaneval/10#1:small#0,log:humaneval/10#1,humaneval/10,humaneval,small,0,0,1585969254,1585969355,0445024c72d2,1,2026-09-20T01:11:55Z,1,3,1,1,1,2,0
branch:log:humaneval/10#1:small#1,log:humaneval/10#1,humaneval/10,humaneval,small,1,1,1476099481,1476099582,0445024c72d2,1,2026-09-20T01:11:55Z,1,2,1,1,1,1,0
branch:log:humaneval/10#1:large#0,log:humaneval/10#1,humaneval/10,humaneval,large,0,2,916407103,916407204,0445024c72d2,1,2026-09-20T01:11:55Z,1,2,1,1,1,1,0
branch:log:humaneval/10#1:large#1,log:humaneval/10#1,humaneval/10,humaneval,large,1,3,2112682586,2112682687,0445024c72d2,1,2026-09-20T01:11:55Z,1,2,1,1,1,1,0
branch:log:humaneval/10#6:small#0,log:humaneval/10#6,humaneval/10,humaneval,small,0,4,1894698973,1894699074,0445024c72d2,1,2026-09-20T01:12:07Z,1,3,0,1,1,2,0
branch:log:humaneval/10#6:small#1,log:humaneval/10#6,humaneval/10,humaneval,small,1,5,172053589,172053690,0445024c72d2,1,2026-09-20T01:12:09Z,1,3,0,1,1,2,0
branch:log:humaneval/10#6:large#0,log:humaneval/10#6,humaneval/10,humaneval,large,0,6,1971145272,1971145373,0445024c72d2,1,2026-09-20T01:12:10Z,1,2,1,1,1,1,0
branch:log:humaneval/10#6:large#1,log:humaneval/10#6,humaneval/10,humaneval,large,1,7,1213723179,1213723280,0445024c72d2,1,2026-09-20T01:12:17Z,1,3,0,1,1,2,0
branch:log:humaneval/100#5:small#0,log:humaneval/100#5,humaneval/100,humaneval,small,0,8,17024329,17024430,0445024c72d2,1,2026-09-20T01:12:24Z,1,3,0,1,1,2,0
branch:log:humaneval/100#5:small#1,log:humaneval/100#5,humaneval/100,humaneval,small,1,9,169019338,169019439,0445024c72d2,1,2026-09-20T01:12:34Z,1,3,0,1,1,2,0
branch:log:humaneval/100#5:large#0,log:humaneval/100#5,humaneval/100,humaneval,large,0,10,1457499768,1457499869,0445024c72d2,1,2026-09-20T01:12:35Z,1,2,0,1,1,1,0
branch:log:humaneval/100#5:large#1,log:humaneval/100#5,humaneval/100,humaneval,large,1,11,2132199223,2132199324,0445024c72d2,1,2026-09-20T01:12:37Z,1,2,1,1,1,1,0
branch:log:humaneval/108#4:small#0,log:humaneval/108#4,humaneval/108,humaneval,small,0,12,1777624051,1777624152,0445024c72d2,1,2026-09-20T01:12:41Z,1,3,0,1,1,2,0
branch:log:humaneval/108#4:small#1,log:humaneval/108#4,humaneval/108,humaneval,small,1,13,1287148152,1287148253,0445024c72d2,1,2026-09-20T01:12:46Z,1,3,0,1,1,2,0
branch:log:humaneval/108#4:large#0,log:humaneval/108#4,humaneval/108,humaneval,large,0,14,174646543,174646644,0445024c72d2,1,2026-09-20T01:12:48Z,1,3,0,1,1,2,0
branch:log:humaneval/108#4:large#1,log:humaneval/108#4,humaneval/108,humaneval,large,1,15,1891513514,1891513615,0445024c72d2,1,2026-09-20T01:12:48Z,1,3,0,1,1,2,0
branch:log:humaneval/108#5:small#0,log:humaneval/108#5,humaneval/108,humaneval,small,0,16,429930042,429930143,0445024c72d2,1,2026-09-20T01:12:51Z,1,3,0,1,1,2,0
branch:log:humaneval/108#5:small#1,log:humaneval/108#5,humaneval/108,humaneval,small,1,17,870556284,870556385,0445024c72d2,1,2026-09-20T01:13:04Z,1,3,0,1,1,2,0
branch:log:humaneval/108#5:large#0,log:humaneval/108#5,humaneval/108,humaneval,large,0,18,63952330,63952431,0445024c72d2,1,2026-09-20T01:13:14Z,1,3,0,1,1,2,0
branch:log:humaneval/108#5:large#1,log:humaneval/108#5,humaneval/108,humaneval,large,1,19,1110713457,1110713558,0445024c72d2,1,2026-09-20T01:13:27Z,1,3,0,1,1,2,0
branch:log:humaneval/108#7:small#0,log:humaneval/108#7,humaneval/108,humaneval,small,0,20,1681988020,1681988121,0445024c72d2,1,2026-09-20T01:13:32Z,1,3,0,1,1,2,0
branch:log:humaneval/108#7:small#1,log:humaneval/108#7,humaneval/108,humaneval,small,1,21,1808161104,1808161205,0445024c72d2,1,2026-09-20T01:13:40Z,1,3,0,1,1,2,0
branch:log:humaneval/108#7:large#0,log:humaneval/108#7,humaneval/108,humaneval,large,0,22,539673128,539673229,0445024c72d2,1,2026-09-20T01:13:41Z,1,3,0,1,1,2,0
branch:log:humaneval/108#7:large#1,log:humaneval/108#7,humaneval/108,humaneval,large,1,23,115261317,115261418,0445024c72d2,1,2026-09-20T01:13:43Z,1,2,0,1,1,1,0
branch:log:humaneval/109#6:small#0,log:humaneval/109#6,humaneval/109,humaneval,small,0,24,2117255406,2117255507,0445024c72d2,1,2026-09-20T01:13:47Z,1,3,0,1,1,2,0
branch:log:humaneval/109#6:small#1,log:humaneval/109#6,humaneval/109,humaneval,small,1,25,444840353,444840454,0445024c72d2,1,2026-09-20T01:13:55Z,1,3,0,1,1,2,0
branch:log:humaneval/109#6:large#0,log:humaneval/109#6,humaneval/109,humaneval,large,0,26,1237790327,1237790428,0445024c72d2,1,2026-09-20T01:13:56Z,1,3,0,1,1,2,0
branch:log:humaneval/109#6:large#1,log:humaneval/109#6,humaneval/109,humaneval,large,1,27,627144042,627144143,0445024c72d2,1,2026-09-20T01:14:10Z,1,3,0,1,1,2,0
branch:log:humaneval/113#1:small#0,log:humaneval/113#1,humaneval/113,humaneval,small,0,28,1221942588,1221942689,0445024c72d2,1,2026-09-20T01:14:10Z,1,3,0,1,1,2,0
branch:log:humaneval/113#1:small#1,log:humaneval/113#1,humaneval/113,humaneval,small,1,29,140031060,140031161,0445024c72d2,1,2026-09-20T01:14:28Z,1,3,0,1,1,2,0
branch:log:humaneval/113#1:large#0,log:humaneval/113#1,humaneval/113,humaneval,large,0,30,714498306,714498407,0445024c72d2,1,2026-09-20T01:14:35Z,1,2,1,1,1,1,0
branch:log:humaneval/113#1:large#1,log:humaneval/113#1,humaneval/113,humaneval,large,1,31,1481645995,1481646096,0445024c72d2,1,2026-09-20T01:14:39Z,1,2,1,1,1,1,0
branch:log:humaneval/115#3:small#0,log:humaneval/115#3,humaneval/115,humaneval,small,0,32,630240536,630240637,0445024c72d2,1,2026-09-20T01:14:45Z,1,3,0,1,1,2,0
branch:log:humaneval/115#3:small#1,log:humaneval/115#3,humaneval/115,humaneval,small,1,33,2059912062,2059912163,0445024c72d2,1,2026-09-20T01:14:49Z,1,2,0,1,1,1,0
branch:log:humaneval/115#3:large#0,log:humaneval/115#3,humaneval/115,humaneval,large,0,34,1235788136,1235788237,0445024c72d2,1,2026-09-20T01:14:59Z,1,2,0,1,1,1,0
branch:log:humaneval/115#3:large#1,log:humaneval/115#3,humaneval/115,humaneval,large,1,35,442187046,442187147,0445024c72d2,1,2026-09-20T01:15:03Z,1,2,0,1,1,1,0
branch:log:humaneval/120#2:small#0,log:humaneval/120#2,humaneval/120,humaneval,small,0,36,1851126311,1851126412,0445024c72d2,1,2026-09-20T01:15:13Z,1,3,0,1,1,2,0
branch:log:humaneval/120#2:small#1,log:humaneval/120#2,humaneval/120,humaneval,small,1,37,105840807,105840908,0445024c72d2,1,2026-09-20T01:15:16Z,1,3,0,1,1,2,0
branch:log:humaneval/120#2:large#0,log:humaneval/120#2,humaneval/120,humaneval,large,0,38,511208063,511208164,0445024c72d2,1,2026-09-20T01:15:17Z,1,3,0,1,1,2,0
branch:log:humaneval/120#2:large#1,log:humaneval/120#2,humaneval/120,humaneval,large,1,39,712435360,712435461,0445024c72d2,1,2026-09-20T01:15:18Z,1,3,0,1,1,2,0
branch:log:humaneval/120#7:small#0,log:humaneval/120#7,humaneval/120,humaneval,small,0,40,120376285,120376386,0445024c72d2,1,2026-09-20T01:15:18Z,1,3,0,1,1,2,0
branch:log:humaneval/120#7:small#1,log:humaneval/120#7,humaneval/120,humaneval,small,1,41,248514360,248514461,0445024c72d2,1,2026-09-20T01:15:21Z,1,3,0,1,1,2,0
branch:log:humaneval/120#7:large#0,log:humaneval/120#7,humaneval/120,humaneval,large,0,42,1427033264,1427033365,0445024c72d2,1,2026-09-20T01:15:23Z,1,3,0,1,1,2,0
branch:log:humaneval/120#7:large#1,log:humaneval/120#7,humaneval/120,humaneval,large,1,43,854131544,854131645,0445024c72d2,1,2026-09-20T01:15:23Z,1,3,0,1,1,2,0
branch:log:humaneval/129#0:small#0,log:humaneval/129#0,humaneval/129,humaneval,small,0,44,177246478,177246579,0445024c72d2,1,2026-09-20T01:15:27Z,1,3,0,1,1,2,0
branch:log:humaneval/129#0:small#1,log:humaneval/129#0,humaneval/129,humaneval,small,1,45,1897352723,1897352824,0445024c72d2,1,2026-09-20T01:16:07Z,1,3,0,1,1,2,0
branch:log:humaneval/129#0:large#0,log:humaneval/129#0,humaneval/129,humaneval,large,0,46,337587705,337587806,0445024c72d2,1,2026-09-20T01:16:22Z,1,3,0,1,1,2,0
branch:log:humaneval/129#0:large#1,log:humaneval/129#0,humaneval/129,humaneval,large,1,47,859154763,859154864,0445024c72d2,1,2026-09-20T01:16:23Z,1,3,0,1,1,2,0
branch:log:humaneval/129#3:small#0,log:humaneval/129#3,humaneval/129,humaneval,small,0,48,466055207,466055308,0445024c72d2,1,2026-09-20T01:16:26Z,1,3,0,1,1,2,0
branch:log:humaneval/129#3:small#1,log:humaneval/129#3,humaneval/129,humaneval,small,1,49,1383955506,1383955607,0445024c72d2,1,2026-09-20T01:16:28Z,1,3,0,1,1,2,0
branch:log:humaneval/129#3:large#0,log:humaneval/129#3,humaneval/129,humaneval,large,0,50,211823733,211823834,0445024c72d2,1,2026-09-20T01:16:51Z,1,3,0,1,1,2,0
branch:log:humaneval/129#3:large#1,log:humaneval/129#3,humaneval/129,humaneval,large,1,51,1126122832,1126122933,0445024c72d2,1,2026-09-20T01:17:01Z,1,3,0,1,1,2,0
branch:log:humaneval/129#6:small#0,log:humaneval/129#6,humaneval/129,humaneval,small,0,52,2058175640,2058175741,0445024c72d2,1,2026-09-20T01:17:08Z,1,3,0,1,1,2,0
branch:log:humaneval/129#6:small#1,log:humaneval/129#6,humaneval/129,humaneval,small,1,53,1569996209,1569996310,0445024c72d2,1,2026-09-20T01:17:36Z,1,3,0,1,1,2,0
branch:log:humaneval/129#6:large#0,log:humaneval/129#6,humaneval/129,humaneval,large,0,54,1813515736,1813515837,0445024c72d2,1,2026-09-20T01:17:41Z,1,3,0,1,1,2,0
branch:log:humaneval/129#6:large#1,log:humaneval/129#6,humaneval/129,humaneval,large,1,55,1315439098,1315439199,0445024c72d2,1,2026-09-20T01:17:46Z,1,3,0,1,1,2,0
branch:log:humaneval/134#6:small#0,log:humaneval/134#6,humaneval/134,humaneval,small,0,56,77658260,77658361,0445024c72d2,1,2026-09-20T01:17:55Z,1,3,0,1,1,2,0
branch:log:humaneval/134#6:small#1,log:humaneval/134#6,humaneval/134,humaneval,small,1,57,1541446993,1541447094,0445024c72d2,1,2026-09-20T01:18:02Z,1,3,0,1,1,2,0
branch:log:humaneval/134#6:large#0,log:humaneval/134#6,humaneval/134,humaneval,large,0,58,1366335583,1366335684,0445024c72d2,1,2026-09-20T01:18:07Z,1,2,0,1,1,1,0
branch:log:humaneval/134#6:large#1,log:humaneval/134#6,humaneval/134,humaneval,large,1,59,1809039275,1809039376,0445024c72d2,1,2026-09-20T01:18:15Z,1,3,0,1,1,2,0
branch:log:humaneval/140#3:small#0,log:humaneval/140#3,humaneval/140,humaneval,small,0,60,235865022,235865123,0445024c72d2,1,2026-09-20T01:18:24Z,1,3,0,1,1,2,0
branch:log:humaneval/140#3:small#1,log:humaneval/140#3,humaneval/140,humaneval,small,1,61,535469751,535469852,0445024c72d2,1,2026-09-20T01:18:26Z,1,3,0,1,1,2,0
branch:log:humaneval/140#3:large#0,log:humaneval/140#3,humaneval/140,humaneval,large,0,62,888935698,888935799,0445024c72d2,1,2026-09-20T01:18:29Z,1,2,0,1,1,1,0
