n,horizon,floor,cell,diagnostics_keys,replicate_columns
1000,10,0.05,n1000_T10_eps0p05,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
1000,10,0.2,n1000_T10_eps0p2,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
1000,10,0.5,n1000_T10_eps0p5,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
1000,2,0.05,n1000_T2_eps0p05,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
1000,2,0.2,n1000_T2_eps0p2,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
1000,2,0.5,n1000_T2_eps0p5,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
1000,5,0.05,n1000_T5_eps0p05,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
1000,5,0.2,n1000_T5_eps0p2,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
1000,5,0.5,n1000_T5_eps0p5,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
250,10,0.05,n250_T10_eps0p05,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
250,10,0.2,n250_T10_eps0p2,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
250,10,0.5,n250_T10_eps0p5,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
250,2,0.05,n250_T2_eps0p05,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
250,2,0.2,n250_T2_eps0p2,"behavior,empty_training_cells_across_folds,ess_by_stage,max_weight_by_stage,mean_weight_by_stage,min_behavior_probability,policy,q_spec,replicate,zero_weight_fraction","replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth"
