n,horizon,floor,policy,q_spec,behavior,method,bias,bias_mc_se,rmse,coverage_95,coverage_mc_se
1000,10,0.05,always_small,correct,known,ipw,0.3252927782149882,0.4942343119057858,15.624631288497,0.012,0.003443254274665175
1000,10,0.05,always_small,correct,known,gcomp,0.002421997831285587,0.0019980596997576337,0.06319902210261265,,
1000,10,0.05,always_small,correct,known,dr,0.22016420582349913,0.18054025196291332,5.7105744083917935,0.391,0.015431104950715617
1000,10,0.05,always_small,misspecified,known,ipw,0.3252927782149882,0.4942343119057858,15.624631288497,0.012,0.003443254274665175
1000,10,0.05,always_small,misspecified,known,gcomp,0.1691131885897114,0.0012662474285061783,0.17378449218105624,,
1000,10,0.05,always_small,misspecified,known,dr,0.3465202326209776,0.18244689702256617,5.776993996408981,0.017,0.004087909000944126
1000,10,0.05,always_small,correct,misspecified,ipw,-0.29506535662248096,0.003527656646758215,0.31542904389854765,0.012,0.003443254274665175
1000,10,0.05,always_small,correct,misspecified,gcomp,0.002421997831285587,0.0019980596997576337,0.06319902210261265,,
1000,10,0.05,always_small,correct,misspecified,dr,0.0038499646540185576,0.002922224330896369,0.09244283570336775,0.312,0.014651143300097777
1000,10,0.05,always_small,misspecified,misspecified,ipw,-0.29506535662248096,0.003527656646758215,0.31542904389854765,0.012,0.003443254274665175
1000,10,0.05,always_small,misspecified,misspecified,gcomp,0.1691131885897114,0.0012662474285061783,0.17378449218105624,,
1000,10,0.05,always_small,misspecified,misspecified,dr,0.16943145592473569,0.0023421965332328827,0.18489839634908545,0.017,0.004087909000944126
1000,10,0.05,always_large,correct,known,ipw,-0.012523772873849894,0.016661214922421022,0.5267592728138818,0.593,0.015535475531827148
1000,10,0.05,always_large,correct,known,gcomp,0.0005913374298858271,0.0004836542707066724,0.015298274807154379,,
1000,10,0.05,always_large,correct,known,dr,-0.010193235637896961,0.007912750421473826,0.25030563250968074,0.958,0.006343185319695463
1000,10,0.05,always_large,misspecified,known,ipw,-0.012523772873849894,0.016661214922421022,0.5267592728138818,0.593,0.015535475531827148
1000,10,0.05,always_large,misspecified,known,gcomp,-0.02359739019154793,0.0004877375148614073,0.028186642570053298,,
1000,10,0.05,always_large,misspecified,known,dr,-0.01065602123314349,0.007954577102315362,0.2516457278960332,0.97,0.0053944415837044735
1000,10,0.05,always_large,correct,misspecified,ipw,9.39495927295956,0.10109476696340801,9.923466707559774,0.081,0.008627803892068943
1000,10,0.05,always_large,correct,misspecified,gcomp,0.0005913374298858271,0.0004836542707066724,0.015298274807154379,,
1000,10,0.05,always_large,correct,misspecified,dr,-0.11110363021175784,0.06940066336670214,2.1963559912520565,0.965,0.005811626278418119
1000,10,0.05,always_large,misspecified,misspecified,ipw,9.39495927295956,0.10109476696340801,9.923466707559774,0.081,0.008627803892068943
1000,10,0.05,always_large,misspecified,misspecified,gcomp,-0.02359739019154793,0.0004877375148614073,0.028186642570053298,,
1000,10,0.05,always_large,misspecified,misspecified,dr,0.16868983427429626,0.07199474572850416,2.2817792244840307,0.959,0.006270486424512857
1000,10,0.05,fixed_switch,correct,known,ipw,-0.033174822988767526,0.025624067491550665,0.8105780720307377,0.655,0.015032464867745409
1000,10,0.05,fixed_switch,correct,known,gcomp,0.00058659679140874,0.00048340628276817105,0.015290259918693736,,
1000,10,0.05,fixed_switch,correct,known,dr,-0.0019877182296952427,0.017408058898268356,0.550219433603299,0.884,0.010126401137620413
1000,10,0.05,fixed_switch,misspecified,known,ipw,-0.033174822988767526,0.025624067491550665,0.8105780720307377,0.655,0.015032464867745409
1000,10,0.05,fixed_switch,misspecified,known,gcomp,-0.023033556870775667,0.00048773751486140733,0.027716326193040722,,
1000,10,0.05,fixed_switch,misspecified,known,dr,-0.005063052856682955,0.017892669163385742,0.565555564630757,0.955,0.00655553201502365
1000,10,0.05,fixed_switch,correct,misspecified,ipw,1.7599950662803334,0.04508977193474527,2.2646494384176394,0.865,0.010806248192596726
1000,10,0.05,fixed_switch,correct,misspecified,gcomp,0.00058659679140874,0.00048340628276817105,0.015290259918693736,,
1000,10,0.05,fixed_switch,correct,misspecified,dr,-0.05104059970626307,0.02243031767195728,0.7107891210003351,0.896,0.009653186002558947
1000,10,0.05,fixed_switch,misspecified,misspecified,ipw,1.7599950662803334,0.04508977193474527,2.2646494384176394,0.865,0.010806248192596726
1000,10,0.05,fixed_switch,misspecified,misspecified,gcomp,-0.023033556870775667,0.00048773751486140733,0.027716326193040722,,
1000,10,0.05,fixed_switch,misspecified,misspecified,dr,-0.027591992223847873,0.022924327173567318,0.7250934902612746,0.899,0.009528850927577784
1000,10,0.05,failure_escalation,correct,known,ipw,0.014878897773475877,0.023760602090749205,0.7511478064283715,0.63,0.015267612779999367
1000,10,0.05,failure_escalation,correct,known,gcomp,0.00015028143192948227,0.0008518707020194036,0.0269254636687069,,
1000,10,0.05,failure_escalation,correct,known,dr,-0.001349623599222607,0.018643685921040234,0.5892718041630118,0.97,0.0053944415837044735
1000,10,0.05,failure_escalation,misspecified,known,ipw,0.014878897773475877,0.023760602090749205,0.7511478064283715,0.63,0.015267612779999367
1000,10,0.05,failure_escalation,misspecified,known,gcomp,0.04424485584801228,0.0007511488231864409,0.05021222559328742,,
1000,10,0.05,failure_escalation,misspecified,known,dr,-0.0017386979920614599,0.01756462148796652,0.5551670335657795,0.971,0.005306505441436956
1000,10,0.05,failure_escalation,correct,misspecified,ipw,2.3364241854694647,0.06351595477535886,3.0804415607118827,0.901,0.009444522221901962
1000,10,0.05,failure_escalation,correct,misspecified,gcomp,0.00015028143192948227,0.0008518707020194036,0.0269254636687069,,
1000,10,0.05,failure_escalation,correct,misspecified,dr,0.010373263019324784,0.04927891582806921,1.557591325807385,0.953,0.00669260786241059
