replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth
0,always_small,correct,known,ipw,0.3479058091279684,0.06537666061449676,0.21976755432355477,0.4760440639323821,0.31590053706061727
0,always_small,correct,known,gcomp,0.32100000256300343,,,,0.31590053706061727
0,always_small,correct,known,dr,0.3647761288537093,0.05849357299725986,0.25012872577907996,0.47942353192833864,0.31590053706061727
0,always_small,misspecified,known,ipw,0.3479058091279684,0.06537666061449676,0.21976755432355477,0.4760440639323821,0.31590053706061727
0,always_small,misspecified,known,gcomp,0.4437560350150871,,,,0.31590053706061727
0,always_small,misspecified,known,dr,0.37646440149651883,0.05821626385974025,0.2623605243314279,0.49056827866160974,0.31590053706061727
0,always_small,correct,misspecified,ipw,0.48533333333333334,0.049325796201670866,0.38865477277805843,0.5820118938886082,0.31590053706061727
0,always_small,correct,misspecified,gcomp,0.32100000256300343,,,,0.31590053706061727
0,always_small,correct,misspecified,dr,0.3174843336415715,0.03324399657266336,0.2523261003591514,0.3826425669239917,0.31590053706061727
0,always_small,misspecified,misspecified,ipw,0.48533333333333334,0.049325796201670866,0.38865477277805843,0.5820118938886082,0.31590053706061727
0,always_small,misspecified,misspecified,gcomp,0.4437560350150871,,,,0.31590053706061727
0,always_small,misspecified,misspecified,dr,0.42295817593614243,0.033622337687879485,0.35705839406789863,0.48885795780438623,0.31590053706061727
0,always_large,correct,known,ipw,0.5174580831099974,0.08530334378308083,0.350263529295159,0.6846526369248358,0.532491782063044
0,always_large,correct,known,gcomp,0.530624979720418,,,,0.532491782063044
0,always_large,correct,known,dr,0.5188808106209933,0.04309661021171199,0.43441145460603786,0.6033501666359489,0.532491782063044
0,always_large,misspecified,known,ipw,0.5174580831099974,0.08530334378308083,0.350263529295159,0.6846526369248358,0.532491782063044
0,always_large,misspecified,known,gcomp,0.45182463743196816,,,,0.532491782063044
0,always_large,misspecified,known,dr,0.5239227778223782,0.043976248773213926,0.4377293302268789,0.6101162254178775,0.532491782063044
0,always_large,correct,misspecified,ipw,0.45943999999999996,0.05132089841389509,0.3588510391087656,0.5600289608912343,0.532491782063044
0,always_large,correct,misspecified,gcomp,0.530624979720418,,,,0.532491782063044
0,always_large,correct,misspecified,dr,0.5447513124288682,0.035924051861924294,0.4743401707794966,0.6151624540782399,0.532491782063044
0,always_large,misspecified,misspecified,ipw,0.45943999999999996,0.05132089841389509,0.3588510391087656,0.5600289608912343,0.532491782063044
0,always_large,misspecified,misspecified,gcomp,0.45182463743196816,,,,0.532491782063044
0,always_large,misspecified,misspecified,dr,0.49973117299215436,0.03732502921409662,0.426574115732525,0.5728882302517837,0.532491782063044
0,fixed_switch,correct,known,ipw,0.5491300529729866,0.05800354283333131,0.4354431090196572,0.6628169969263159,0.5735816514419649
0,fixed_switch,correct,known,gcomp,0.5718561482933868,,,,0.5735816514419649
0,fixed_switch,correct,known,dr,0.5752132818666396,0.03154107508384293,0.5133927747023074,0.6370337890309717,0.5735816514419649
0,fixed_switch,misspecified,known,ipw,0.5491300529729866,0.05800354283333131,0.4354431090196572,0.6628169969263159,0.5735816514419649
0,fixed_switch,misspecified,known,gcomp,0.5118246374319682,,,,0.5735816514419649
0,fixed_switch,misspecified,known,dr,0.5772908018341059,0.03257606837814982,0.5134417078129322,0.6411398958552795,0.5735816514419649
0,fixed_switch,correct,misspecified,ipw,0.6076266666666665,0.05547960799063432,0.4988866350050233,0.7163666983283098,0.5735816514419649
0,fixed_switch,correct,misspecified,gcomp,0.5718561482933868,,,,0.5735816514419649
0,fixed_switch,correct,misspecified,dr,0.5952510730661479,0.03601737529757798,0.5246570174828951,0.6658451286494007,0.5735816514419649
0,fixed_switch,misspecified,misspecified,ipw,0.6076266666666665,0.05547960799063432,0.4988866350050233,0.7163666983283098,0.5735816514419649
0,fixed_switch,misspecified,misspecified,gcomp,0.5118246374319682,,,,0.5735816514419649
0,fixed_switch,misspecified,misspecified,dr,0.5582242685739697,0.03677087841227236,0.4861533468859158,0.6302951902620235,0.5735816514419649
0,failure_escalation,correct,known,ipw,0.5079700648357437,0.0322771553182754,0.44470684041192393,0.5712332892595635,0.4503863335791294
0,failure_escalation,correct,known,gcomp,0.44740589459580193,,,,0.4503863335791294
0,failure_escalation,correct,known,dr,0.47381061720531986,0.023570826836375656,0.42761179660602355,0.5200094378046162,0.4503863335791294
0,failure_escalation,misspecified,known,ipw,0.5079700648357437,0.0322771553182754,0.44470684041192393,0.5712332892595635,0.4503863335791294
0,failure_escalation,misspecified,known,gcomp,0.4523233157500593,,,,0.4503863335791294
0,failure_escalation,misspecified,known,dr,0.47031464558156266,0.023734578341682334,0.4237948720318653,0.51683441913126,0.4503863335791294
0,failure_escalation,correct,misspecified,ipw,1.296,0.07782130023230507,1.1434702515446822,1.448529748455318,0.4503863335791294
0,failure_escalation,correct,misspecified,gcomp,0.44740589459580193,,,,0.4503863335791294
0,failure_escalation,correct,misspecified,dr,0.50207563044385,0.05677979563781973,0.39078723099372326,0.6133640298939766,0.4503863335791294
0,failure_escalation,misspecified,misspecified,ipw,1.296,0.07782130023230507,1.1434702515446822,1.448529748455318,0.4503863335791294
0,failure_escalation,misspecified,misspecified,gcomp,0.4523233157500593,,,,0.4503863335791294
